#  ra             dec           radius                  
  337.531265     0.017205      0.011111111111111112    
  337.65032      0.099804      0.011111111111111112    
  337.697767     0.089321      0.011111111111111112    
  337.709798     0.002992      0.016666666666666666    
  337.777586     0.057551      0.016666666666666666    
  337.829886     0.334983      0.011111111111111112    
  337.844845     0.232648      0.025                   
  337.848729     0.168337      0.011111111111111112    
  337.894262     0.390991      0.011111111111111112    
  337.897406     0.094611      0.011111111111111112    
  337.90293      0.152408      0.011111111111111112    
  337.908443     0.16975       0.011111111111111112    
  337.91697      0.078537      0.011111111111111112    
  337.925857     0.386471      0.011111111111111112    
  337.946903     0.314816      0.011111111111111112    
  337.952767     0.226261      0.011111111111111112    
  337.962558     0.077414      0.011111111111111112    
  337.970789     0.252364      0.025                   
  337.976354     0.245652      0.011111111111111112    
  337.980021     0.294746      0.011111111111111112    
  337.985129     0.236891      0.011111111111111112    
  338.024898     0.395229      0.025                   
  338.034702     0.358232      0.011111111111111112    
  338.041718     0.376404      0.011111111111111112    
  338.042667     0.363919      0.025                   
  338.043317     0.567637      0.011111111111111112    
  338.045711     0.342032      0.011111111111111112    
  338.054086     0.186679      0.011111111111111112    
  338.055942     0.596777      0.011111111111111112    
  338.068981     0.200444      0.011111111111111112    
  338.072908     0.400369      0.025                   
  338.078369     0.028281      0.011111111111111112    
  338.086579     0.530168      0.011111111111111112    
  338.124457     0.073267      0.016666666666666666    
  338.13854      0.358459      0.011111111111111112    
  338.155324     0.309929      0.011111111111111112    
  338.15675      0.401565      0.011111111111111112    
  338.162712     0.11694       0.025                   
  338.164731     0.051609      0.011111111111111112    
  338.17353      0.646854      0.011111111111111112    
  338.173822     0.279832      0.011111111111111112    
  338.175798     0.410399      0.011111111111111112    
  338.194695     0.44126       0.011111111111111112    
  338.207186     0.75876       0.011111111111111112    
  338.20853      0.533094      0.016666666666666666    
  338.214905     0.267233      0.011111111111111112    
  338.2235       0.251643      0.011111111111111112    
  338.226409     0.53579       0.011111111111111112    
  338.24956      0.382743      0.016666666666666666    
  338.255091     0.601463      0.011111111111111112    
  338.261751     0.156875      0.011111111111111112    
  338.262421     0.025251      0.011111111111111112    
  338.26842      0.431094      0.016666666666666666    
  338.28629      0.164365      0.011111111111111112    
  338.287485     0.126356      0.011111111111111112    
  338.292919     0.844206      0.011111111111111112    
  338.297945     0.835853      0.011111111111111112    
  338.320184     0.559881      0.011111111111111112    
  338.329532     0.245189      0.011111111111111112    
  338.331758     0.652536      0.011111111111111112    
  338.340683     0.190433      0.011111111111111112    
  338.346068     0.269683      0.025                   
  338.346786     0.136782      0.025                   
  338.346808     0.130429      0.011111111111111112    
  338.359831     0.327856      0.011111111111111112    
  338.373715     0.172845      0.011111111111111112    
  338.377097     0.308359      0.011111111111111112    
  338.384526     0.131247      0.011111111111111112    
  338.388825     0.764636      0.011111111111111112    
  338.405502     0.609335      0.011111111111111112    
  338.406917     0.224279      0.011111111111111112    
  338.407995     0.664082      0.011111111111111112    
  338.414305     0.447723      0.011111111111111112    
  338.414337     0.622717      0.016666666666666666    
  338.417702     0.443284      0.011111111111111112    
  338.426214     0.572855      0.011111111111111112    
  338.429681     0.865616      0.016666666666666666    
  338.445275     0.207783      0.011111111111111112    
  338.456358     0.678218      0.011111111111111112    
  338.460664     0.710478      0.011111111111111112    
  338.462611     0.740505      0.011111111111111112    
  338.465899     0.441578      0.011111111111111112    
  338.46819      0.5043        0.011111111111111112    
  338.469568     0.284345      0.011111111111111112    
  338.469758     0.813061      0.016666666666666666    
  338.482746     0.413912      0.011111111111111112    
  338.487709     0.476128      0.011111111111111112    
  338.491453     0.068454      0.011111111111111112    
  338.494949     0.106615      0.011111111111111112    
  338.500455     0.575902      0.011111111111111112    
  338.506316     0.208665      0.011111111111111112    
  338.507393     0.542784      0.011111111111111112    
  338.509854     0.348242      0.011111111111111112    
  338.510025     0.125298      0.016666666666666666    
  330.714216     -0.020836     0.011111111111111112    
  330.730117     -0.152089     0.011111111111111112    
  330.740603     -0.025997     0.016666666666666666    
  330.774193     -0.192108     0.011111111111111112    
  330.857794     -0.15478      0.011111111111111112    
  330.86587      -0.261805     0.011111111111111112    
  330.872874     -0.157691     0.016666666666666666    
  330.90326      -0.344846     0.041666666666666664    
  330.905134     -0.523734     0.016666666666666666    
  330.935055     -0.299115     0.011111111111111112    
  330.953865     -0.51872      0.011111111111111112    
  330.97104      -0.361414     0.011111111111111112    
  330.97414      -0.236641     0.011111111111111112    
  330.98098      -0.198697     0.011111111111111112    
  331.002671     -0.510521     0.011111111111111112    
  331.012605     -0.072431     0.011111111111111112    
  331.02911      -0.404579     0.011111111111111112    
  331.039402     -0.361513     0.016666666666666666    
  331.039406     -0.651478     0.011111111111111112    
  331.039494     -0.237847     0.011111111111111112    
  331.040624     -0.012874     0.016666666666666666    
  331.055861     -0.549437     0.016666666666666666    
  331.057986     -0.475458     0.011111111111111112    
  331.099576     -0.508992     0.011111111111111112    
  331.100256     -0.355156     0.011111111111111112    
  331.109292     -0.308158     0.016666666666666666    
  331.116426     -0.589013     0.011111111111111112    
  331.121782     -0.639591     0.011111111111111112    
  331.123504     -0.554436     0.025                   
  331.126689     -0.289604     0.011111111111111112    
  331.130203     -0.041362     0.011111111111111112    
  331.167717     -0.12076      0.011111111111111112    
  331.170073     -0.028475     0.03333333333333333     
  331.180277     -0.184537     0.011111111111111112    
  331.18314      -0.803726     0.011111111111111112    
  331.184929     -0.369514     0.011111111111111112    
  331.186719     -0.586731     0.011111111111111112    
  331.196818     -0.630344     0.011111111111111112    
  331.207736     -0.406397     0.011111111111111112    
  331.221168     -0.299527     0.011111111111111112    
  331.221337     -0.072166     0.011111111111111112    
  331.235262     -0.755322     0.011111111111111112    
  331.246218     -0.682199     0.011111111111111112    
  331.246459     -0.370366     0.011111111111111112    
  331.27315      -0.632924     0.011111111111111112    
  331.282722     -0.509298     0.011111111111111112    
  331.291558     -0.304753     0.011111111111111112    
  331.298014     -0.748147     0.011111111111111112    
  331.305791     -0.764207     0.011111111111111112    
  331.31385      -0.70007      0.03333333333333333     
  331.316694     -0.534567     0.011111111111111112    
  331.317554     -0.657687     0.011111111111111112    
  331.322527     -0.534995     0.011111111111111112    
  331.326001     -0.130793     0.05                    
  331.32797      -0.12595      0.011111111111111112    
  331.330703     -0.805537     0.011111111111111112    
  331.35514      -0.457814     0.011111111111111112    
  331.358818     -0.858016     0.011111111111111112    
  331.368297     -0.702162     0.011111111111111112    
  331.374834     -0.422681     0.011111111111111112    
  331.383533     -0.50241      0.011111111111111112    
  331.395646     -0.424842     0.011111111111111112    
  331.396012     -0.734406     0.011111111111111112    
  331.398544     -0.05268      0.011111111111111112    
  331.402842     -0.183983     0.011111111111111112    
  331.403895     -0.827479     0.05                    
  331.405069     -0.715543     0.016666666666666666    
  331.412497     -0.387312     0.011111111111111112    
  331.429507     -0.39601      0.011111111111111112    
  331.43281      -0.353476     0.011111111111111112    
  331.443274     -0.147133     0.011111111111111112    
  331.445971     -0.319843     0.05                    
  331.44843      -0.706427     0.011111111111111112    
  338.51824      1.013663      0.011111111111111112    
  338.525748     0.235877      0.025                   
  338.528571     0.622809      0.011111111111111112    
  338.533483     0.881986      0.011111111111111112    
  338.536676     0.702538      0.011111111111111112    
  338.537232     0.603824      0.011111111111111112    
  338.543467     0.588313      0.011111111111111112    
  338.557739     0.197269      0.011111111111111112    
  338.565865     0.69376       0.011111111111111112    
  338.573873     0.862395      0.011111111111111112    
  338.575326     1.031378      0.011111111111111112    
  338.580822     0.655855      0.011111111111111112    
  338.58161      0.902768      0.011111111111111112    
  338.590006     0.65944       0.011111111111111112    
  338.602283     1.06644       0.011111111111111112    
  338.612033     0.092941      0.011111111111111112    
  338.621377     1.14222       0.011111111111111112    
  338.629857     0.412007      0.016666666666666666    
  338.637446     1.077254      0.011111111111111112    
  338.644033     1.16992       0.011111111111111112    
  338.648108     0.45344       0.011111111111111112    
  338.649765     0.595108      0.05                    
  338.654297     0.112485      0.011111111111111112    
  338.668723     0.679898      0.011111111111111112    
  338.674983     0.445909      0.011111111111111112    
  338.675373     0.229312      0.011111111111111112    
  338.684383     1.184767      0.011111111111111112    
  338.694071     0.510064      0.011111111111111112    
  338.695369     0.813164      0.011111111111111112    
  338.698062     1.212918      0.011111111111111112    
  338.699172     1.159027      0.011111111111111112    
  338.720904     0.437435      0.016666666666666666    
  338.724452     0.052319      0.011111111111111112    
  338.728922     0.838         0.025                   
  338.729167     0.505266      0.011111111111111112    
  338.733859     0.673605      0.011111111111111112    
  338.738916     0.258967      0.011111111111111112    
  338.739047     0.69453       0.011111111111111112    
  338.748155     1.109942      0.011111111111111112    
  338.748427     0.737897      0.011111111111111112    
  338.757585     0.64249       0.011111111111111112    
  338.762881     0.512062      0.011111111111111112    
  338.768221     1.207518      0.011111111111111112    
  338.78635      0.416105      0.011111111111111112    
  338.787817     0.740508      0.011111111111111112    
  338.788202     0.123513      0.011111111111111112    
  338.788436     0.051097      0.016666666666666666    
  338.789278     0.611672      0.011111111111111112    
  338.806637     0.503584      0.011111111111111112    
  338.827454     0.194713      0.011111111111111112    
  338.830455     0.604937      0.016666666666666666    
  338.837866     0.606357      0.011111111111111112    
  338.840664     0.169984      0.011111111111111112    
  338.856022     0.636714      0.011111111111111112    
  338.863061     0.197293      0.011111111111111112    
  338.867975     1.120564      0.011111111111111112    
  338.883477     1.154547      0.011111111111111112    
  338.891143     0.514879      0.016666666666666666    
  338.892726     0.32157       0.011111111111111112    
  338.8979       0.894039      0.011111111111111112    
  338.901071     0.519878      0.011111111111111112    
  338.901963     0.542564      0.011111111111111112    
  338.902032     0.543748      0.011111111111111112    
  338.904887     0.776581      0.011111111111111112    
  338.906157     0.669766      0.011111111111111112    
  338.920991     1.010976      0.011111111111111112    
  338.923901     0.508238      0.011111111111111112    
  338.931493     0.120321      0.016666666666666666    
  338.934056     0.002979      0.016666666666666666    
  338.935656     0.502728      0.011111111111111112    
  338.93702      0.613247      0.011111111111111112    
  338.947323     0.867271      0.025                   
  338.950273     0.13603       0.011111111111111112    
  338.953708     0.975919      0.016666666666666666    
  338.956769     0.875916      0.011111111111111112    
  338.958279     0.708324      0.011111111111111112    
  338.96242      0.753074      0.011111111111111112    
  338.9628       0.910755      0.011111111111111112    
  338.971255     0.422324      0.011111111111111112    
  338.974878     0.168405      0.011111111111111112    
  338.975021     1.015252      0.011111111111111112    
  338.990773     0.326972      0.016666666666666666    
  338.999867     0.925605      0.011111111111111112    
  339.017151     0.542744      0.011111111111111112    
  339.020017     0.280289      0.011111111111111112    
  339.020982     0.252808      0.011111111111111112    
  339.038513     0.78127       0.016666666666666666    
  339.043449     0.164142      0.016666666666666666    
  339.044263     1.02295       0.011111111111111112    
  339.045072     0.841206      0.011111111111111112    
  339.045948     0.259459      0.011111111111111112    
  339.048039     0.711198      0.011111111111111112    
  339.049909     0.62425       0.011111111111111112    
  339.049951     0.168642      0.03333333333333333     
  339.050125     0.358962      0.011111111111111112    
  339.051914     0.145165      0.025                   
  339.06173      1.120678      0.011111111111111112    
  339.065641     0.420026      0.011111111111111112    
  339.068644     0.394445      0.011111111111111112    
  339.069568     1.085072      0.03333333333333333     
  339.070371     0.135991      0.011111111111111112    
  339.074424     0.187813      0.011111111111111112    
  339.082859     0.371236      0.016666666666666666    
  339.085649     0.817293      0.011111111111111112    
  339.092537     0.949591      0.011111111111111112    
  339.096218     0.58684       0.011111111111111112    
  339.10038      0.941132      0.016666666666666666    
  339.105937     0.881189      0.011111111111111112    
  339.10875      0.53121       0.011111111111111112    
  339.11136      0.584636      0.011111111111111112    
  339.128343     0.501842      0.011111111111111112    
  339.132064     0.242955      0.011111111111111112    
  339.144016     0.780889      0.025                   
  339.146031     1.027395      0.011111111111111112    
  339.166746     0.364066      0.03333333333333333     
  339.171469     1.040777      0.011111111111111112    
  339.173278     0.565835      0.011111111111111112    
  339.175654     0.393771      0.05                    
  339.176029     0.448721      0.011111111111111112    
  339.181597     0.098334      0.011111111111111112    
  339.183727     0.734923      0.011111111111111112    
  339.199251     0.157711      0.011111111111111112    
  339.220915     0.691716      0.03333333333333333     
  339.231458     1.058716      0.011111111111111112    
  339.232798     0.763502      0.011111111111111112    
  339.236306     0.876961      0.011111111111111112    
  339.23636      0.8785        0.03333333333333333     
  339.239885     0.378411      0.011111111111111112    
  339.260707     0.103381      0.016666666666666666    
  339.265951     0.724469      0.011111111111111112    
  339.271719     1.183124      0.011111111111111112    
  339.274044     1.131844      0.011111111111111112    
  339.279376     1.111938      0.011111111111111112    
  339.279737     0.38958       0.011111111111111112    
  339.280245     0.361697      0.011111111111111112    
  339.298415     0.724936      0.011111111111111112    
  339.314153     0.076405      0.011111111111111112    
  339.3205       0.950011      0.011111111111111112    
  339.322921     0.068748      0.011111111111111112    
  339.327147     0.82751       0.041666666666666664    
  339.330079     1.214233      0.011111111111111112    
  339.342571     0.840904      0.011111111111111112    
  339.348413     1.222452      0.011111111111111112    
  339.349361     0.173794      0.011111111111111112    
  339.352284     0.167247      0.011111111111111112    
  339.358834     0.849375      0.011111111111111112    
  339.368179     0.529125      0.011111111111111112    
  339.369269     0.248926      0.03333333333333333     
  339.373149     0.243704      0.011111111111111112    
  339.373951     0.443187      0.016666666666666666    
  339.378179     1.061482      0.011111111111111112    
  339.380088     0.522668      0.016666666666666666    
  339.382446     0.619957      0.011111111111111112    
  339.390981     0.506502      0.011111111111111112    
  339.396191     0.012758      0.025                   
  339.397938     0.390499      0.011111111111111112    
  339.401387     0.825712      0.011111111111111112    
  339.401962     0.252744      0.016666666666666666    
  339.402957     0.448085      0.011111111111111112    
  339.403312     0.253058      0.016666666666666666    
  339.412982     1.008238      0.011111111111111112    
  339.421298     1.109218      0.011111111111111112    
  339.42432      0.634276      0.011111111111111112    
  339.439033     1.15735       0.025                   
  339.44724      0.258554      0.025                   
  339.455315     0.977267      0.011111111111111112    
  339.456095     0.790492      0.011111111111111112    
  339.464122     0.913001      0.011111111111111112    
  339.464695     0.023357      0.011111111111111112    
  339.466738     0.447605      0.011111111111111112    
  339.467769     0.743741      0.016666666666666666    
  339.47481      0.338772      0.011111111111111112    
  339.482656     0.56817       0.016666666666666666    
  339.491214     0.173075      0.011111111111111112    
  339.508987     0.875021      0.011111111111111112    
  339.51592      0.650486      0.016666666666666666    
  339.524214     0.419303      0.011111111111111112    
  339.544284     0.567256      0.011111111111111112    
  339.552593     0.395441      0.025                   
  339.553778     0.14323       0.011111111111111112    
  339.555719     0.969409      0.016666666666666666    
  339.559259     0.283906      0.011111111111111112    
  339.559666     0.140142      0.011111111111111112    
  339.565254     1.144204      0.011111111111111112    
  339.5799       0.246276      0.011111111111111112    
  339.589529     0.188293      0.016666666666666666    
  339.59632      0.68465       0.025                   
  339.602731     0.014916      0.011111111111111112    
  339.620013     0.420279      0.011111111111111112    
  339.620794     0.660065      0.011111111111111112    
  331.450812     -0.57635      0.011111111111111112    
  331.457713     -0.132274     0.011111111111111112    
  331.461097     -0.952476     0.011111111111111112    
  331.465692     -0.296354     0.011111111111111112    
  331.469189     -0.192389     0.011111111111111112    
  331.470392     -0.94453      0.011111111111111112    
  331.48095      -0.445224     0.011111111111111112    
  331.482002     -0.151696     0.011111111111111112    
  331.484096     -0.825293     0.011111111111111112    
  331.486584     -0.657261     0.011111111111111112    
  331.48681      -0.137455     0.025                   
  331.510026     -0.54455      0.011111111111111112    
  331.537795     -0.876637     0.011111111111111112    
  331.538185     -0.03766      0.011111111111111112    
  331.540118     -0.555941     0.025                   
  331.541654     -0.970087     0.025                   
  331.548886     -0.44948      0.011111111111111112    
  331.552261     -0.349178     0.011111111111111112    
  331.556139     -0.936359     0.011111111111111112    
  331.568036     -1.220105     0.011111111111111112    
  331.571847     -0.414803     0.011111111111111112    
  331.577369     -0.777753     0.011111111111111112    
  331.586646     -1.110267     0.016666666666666666    
  331.591176     -0.370249     0.011111111111111112    
  331.606908     -1.045505     0.016666666666666666    
  331.611115     -1.17679      0.016666666666666666    
  331.617249     -0.688649     0.011111111111111112    
  331.622228     -1.175463     0.011111111111111112    
  331.624095     -0.459246     0.011111111111111112    
  331.629979     -1.171884     0.011111111111111112    
  331.632649     -1.091276     0.011111111111111112    
  331.632675     -0.439257     0.016666666666666666    
  331.636793     -0.674901     0.011111111111111112    
  331.637495     -0.627201     0.011111111111111112    
  331.638204     -1.136562     0.011111111111111112    
  331.644512     -0.166901     0.011111111111111112    
  331.650618     -0.812375     0.011111111111111112    
  331.657697     -0.468584     0.011111111111111112    
  331.663312     -0.424229     0.05                    
  331.679572     -0.166481     0.011111111111111112    
  331.680989     -0.555097     0.011111111111111112    
  331.690851     -0.575143     0.011111111111111112    
  331.691493     -1.023057     0.011111111111111112    
  331.701        -0.922861     0.011111111111111112    
  331.704759     -1.069114     0.011111111111111112    
  331.712207     -0.748922     0.05                    
  331.720658     -0.001014     0.011111111111111112    
  331.722583     -0.68112      0.011111111111111112    
  331.722627     -0.269622     0.011111111111111112    
  331.724769     -0.932567     0.011111111111111112    
  331.724899     -1.057026     0.011111111111111112    
  331.727625     -1.14954      0.011111111111111112    
  331.72826      -0.134992     0.011111111111111112    
  331.735466     -0.885848     0.011111111111111112    
  331.739004     -0.066459     0.011111111111111112    
  331.740384     -0.014895     0.011111111111111112    
  331.764336     -1.117522     0.011111111111111112    
  331.764949     -0.330946     0.011111111111111112    
  331.766876     -1.246016     0.011111111111111112    
  331.78514      -0.989234     0.011111111111111112    
  331.789836     -0.698228     0.011111111111111112    
  331.791338     -1.193576     0.011111111111111112    
  331.792519     -0.89997      0.011111111111111112    
  331.806069     -0.451942     0.011111111111111112    
  331.807711     -0.217295     0.011111111111111112    
  331.808403     -0.285448     0.011111111111111112    
  331.809273     -1.233291     0.011111111111111112    
  331.811501     -1.191044     0.011111111111111112    
  331.811632     -0.512792     0.016666666666666666    
  331.817804     -0.009645     0.011111111111111112    
  331.821371     -1.133866     0.011111111111111112    
  331.821572     -0.020328     0.011111111111111112    
  331.82302      -0.0241       0.016666666666666666    
  331.824828     -1.18086      0.011111111111111112    
  331.825871     -0.823335     0.011111111111111112    
  331.826871     -0.207151     0.05                    
  331.849769     -0.176361     0.025                   
  331.850057     -0.819539     0.016666666666666666    
  331.866228     -1.093112     0.011111111111111112    
  331.871612     -1.052102     0.016666666666666666    
  331.871822     -0.424292     0.011111111111111112    
  331.875817     -0.177107     0.03333333333333333     
  331.880705     -0.149527     0.011111111111111112    
  331.885055     -1.219892     0.011111111111111112    
  331.88761      -0.353353     0.011111111111111112    
  331.899674     -0.897481     0.016666666666666666    
  331.903802     -0.678453     0.011111111111111112    
  331.908791     -0.165625     0.011111111111111112    
  331.92037      -0.437191     0.011111111111111112    
  331.923621     -0.495334     0.011111111111111112    
  331.928421     -1.170391     0.011111111111111112    
  331.933616     -0.895473     0.011111111111111112    
  339.620872     0.918929      0.011111111111111112    
  339.622024     1.11192       0.011111111111111112    
  339.624827     0.633803      0.016666666666666666    
  339.637174     0.901998      0.03333333333333333     
  339.647122     1.191972      0.03333333333333333     
  339.650784     1.135483      0.041666666666666664    
