#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
5	1	1	334.158529179	1.16456471255	335.108264591	-0.810024014864	334.538188653	-1.07966362156	333.58984254	0.890417432936
5	1	2	334.210384574	1.06316134531	335.159190477	-0.909888694252	334.589676459	-1.18036578291	333.642451932	0.789373895268
5	2	1	334.104215577	1.18069786245	335.057527759	-0.791983264469	334.488302479	-1.06263867518	333.536009836	0.905170575058
5	2	2	334.156381787	1.079600169	335.108896193	-0.892769488729	334.539950151	-1.16327140392	333.588767377	0.804382106504
6	1	1	334.889037212	1.18022471403	335.863109345	-0.776692347499	335.227775129	-1.09429399703	334.250928907	0.861809795498
6	1	2	334.942433052	1.07974202135	335.915393853	-0.875698228539	335.280661257	-1.19420499341	334.304814745	0.76148728304
6	2	1	334.836059634	1.19685007029	335.81169164	-0.759097017143	335.177065346	-1.0777359867	334.197986877	0.877244299488
6	2	2	334.88940937	1.09638870659	335.864198668	-0.858152331239	335.229916666	-1.17756795887	334.251935388	0.777076846909
7	1	1	335.787121058	-1.19893553604	335.088126287	0.87769316665	335.687007025	1.07476994396	336.385295418	-0.997000761777
7	1	2	335.748249503	-1.0920343416	335.04974943	0.983734848119	335.648401151	1.18103701437	336.345587583	-0.890257582138
7	2	1	335.736618819	-1.18221945034	335.035342898	0.893992040673	335.633728849	1.09152255946	336.334650465	-0.979357770008
7	2	2	335.697500703	-1.075251416	334.996717526	0.999926036557	335.595039738	1.19770370295	336.294813353	-0.872892388091
8	1	1	336.455772513	-1.19923846041	335.759090119	0.877991663354	336.358398835	1.07483739027	337.05405896	-0.998165851778
8	1	2	336.416848979	-1.09229202886	335.721015604	0.983322392956	336.319897902	1.18099487468	337.014676668	-0.89145443698
8	2	1	336.40583459	-1.18245982529	335.705352769	0.893843833214	336.304206683	1.09154488695	337.004129453	-0.979850713892
8	2	2	336.366748122	-1.07556375224	335.666905541	0.99992978667	336.265580945	1.19770005345	336.964261193	-0.872738933144
9	1	1	337.126167725	-1.19906707051	336.428737289	0.877736818187	337.027759642	1.07491878944	337.724587037	-0.997869358755
9	1	2	337.087214593	-1.09228245555	336.390475605	0.983201824065	336.989274374	1.18112263327	337.684961364	-0.891199904075
9	2	1	337.07469257	-1.18259817269	336.37634048	0.893895611371	336.975398013	1.09150961345	337.67345819	-0.980867444237
9	2	2	337.035855324	-1.07571664232	336.338064291	0.99924043521	336.936687597	1.1977056524	337.633787681	-0.874147662187
10	1	1	337.796645086	-1.19904231929	337.098051721	0.877368883824	337.697346963	1.07478985913	338.394914865	-0.997399381902
10	1	2	337.757711721	-1.09216977601	337.059881085	0.982771522399	337.658744329	1.18103028353	338.355362711	-0.890805296455
10	2	1	337.745171222	-1.18243014016	337.045618403	0.893661249447	337.644999549	1.09136373022	338.34362339	-0.980293153709
10	2	2	337.706203628	-1.07561474655	337.00740701	0.999002410694	337.606354832	1.19754676604	338.303986073	-0.873599279653
11	1	1	338.467821436	-1.19908849396	337.767812507	0.877551222746	338.366624497	1.07484453691	339.066026203	-0.996728141635
11	1	2	338.428824249	-1.09223991316	337.729552236	0.982919774434	338.327927072	1.1810612241	339.026250921	-0.890203624639
11	2	1	338.416122135	-1.18244888836	337.715325338	0.893397061177	338.314381238	1.09155077141	339.014248182	-0.979864199738
11	2	2	338.377113375	-1.07546965613	337.676978643	0.998698719005	338.275603714	1.19768871248	338.974463561	-0.873217945811
12	1	1	338.915134747	1.19514425276	339.873271392	-0.771302367861	339.163558564	-1.11283478176	338.205170105	0.852562788798
12	1	2	338.967559245	1.09409368628	339.924910119	-0.87201322176	339.215396763	-1.21323988523	338.258192899	0.75183981688
12	2	1	338.862107762	1.2117411655	339.822114112	-0.753782873075	339.112502293	-1.0958975986	338.152529712	0.868349846881
12	2	2	338.914504984	1.11077808564	339.873788622	-0.854380304843	339.164433188	-1.19631156067	338.205672873	0.767802166085
13	1	1	339.833268913	-1.19740325195	339.088703873	0.863150576645	339.683254845	1.07392302922	340.427170746	-0.982262422828
13	1	2	339.791996341	-1.09141175893	339.047976841	0.96830562017	339.642295241	1.17928839598	340.385127492	-0.876612473629
13	2	1	339.782016653	-1.18037030818	339.035642651	0.879706998842	339.630169412	1.09055836372	340.37550259	-0.964578615728
13	2	2	339.740623283	-1.07451022848	338.994762981	0.984895815384	339.589114644	1.19579370775	340.333442926	-0.858854896224
14	1	1	340.21877318	1.18171559146	341.178787197	-0.781949880135	340.541545381	-1.09533494224	339.578079225	0.867393830604
14	1	2	340.271284469	1.08082352802	341.230492683	-0.881394628426	340.59378562	-1.19556720986	339.631392345	0.766784155082
14	2	1	340.16553087	1.19822972722	341.12728351	-0.764577357805	340.49036981	-1.0786180392	339.525381779	0.883172390804
14	2	2	340.218359056	1.09733950452	341.179091512	-0.863960312168	340.542743031	-1.17886341406	339.578744536	0.782712334002
15	1	1	341.174734494	-1.19708758893	340.428090264	0.86253586471	341.02213257	1.07374499761	341.768391113	-0.981766974928
15	1	2	341.133262917	-1.09117047029	340.387209344	0.967632807647	340.981023826	1.1790394549	341.726253085	-0.875992532858
15	2	1	341.123045441	-1.18055046541	340.375717023	0.879181371362	340.969602755	1.09034054728	341.716426388	-0.964963913737
15	2	2	341.081553704	-1.07453023481	340.334860951	0.984218606789	340.928516683	1.19558092165	341.674324034	-0.859241493541
16	1	1	341.851150292	-1.19645333357	341.092441403	0.859292463232	341.685826502	1.07332789588	342.443413576	-0.977324569385
16	1	2	341.809163444	-1.09058996947	341.051064448	0.964168676623	341.644213475	1.17841025263	342.400658694	-0.871806312572
16	2	1	341.799466773	-1.17966931488	341.040385981	0.875936541822	341.633661343	1.09028307398	342.391671514	-0.960391521832
